 ,Label,Angle,Length,Measurement_type
1,siSCR_HaloEmpty-27_merged.png:0471-0717,-18.435,49.015,Fiber_length
2,siSCR_HaloEmpty-27_merged.png:0458-0675,-14.697,31.532,Fiber_length
3,siSCR_HaloEmpty-27_merged.png:0509-0834,-19.692,50.450,Fiber_length
4,siSCR_HaloEmpty-27_merged.png:0529-0891,-15.306,49.247,Fiber_length
5,siSCR_HaloEmpty-27_merged.png:0500-1221,-9.866,70.036,Fiber_length
6,siSCR_HaloEmpty-27_merged.png:0490-1159,-13.392,43.174,Fiber_length
7,siSCR_HaloEmpty-27_merged.png:0605-1169,-17.526,26.566,Fiber_length
8,siSCR_HaloEmpty-27_merged.png:0615-1202,-15.362,31.457,Fiber_length
9,siSCR_HaloEmpty-27_merged.png:0616-0565,-15.341,58.588,Fiber_length
10,siSCR_HaloEmpty-27_merged.png:0633-0620,-17.241,45.547,Fiber_length
